x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined,Tuned
25323,47421,ADM,PanIN_HG,0.0821267962455749,0.3793995976448059,0.4061238169670105,0.1323497891426086,0.4061238169670105,ADM,PanIN_LG
21995,46909,ADM,ADM,0.560978353023529,0.2199559062719345,0.1000345423817634,0.1190311461687088,0.560978353023529,Other,ADM
3938,34179,ADM,PanIN_LG,0.3236027359962463,0.4554415345191955,0.1052387133240699,0.1157169789075851,0.4554415345191955,PanIN_LG,ADM
22251,46909,ADM,ADM,0.2947244048118591,0.2394597083330154,0.277554988861084,0.1882608532905578,0.2947244048118591,Other,ADM
7010,32131,ADM,ADM,0.5688700675964355,0.228266105055809,0.172624409198761,0.0302393920719623,0.5688700675964355,ADM,ADM
24811,49981,ADM,ADM,0.4733818471431732,0.202078104019165,0.1911835372447967,0.133356511592865,0.4733818471431732,ADM,ADM
30558,42347,ADM,PanIN_LG,0.0738914832472801,0.3484824597835541,0.3362035155296325,0.2414225339889526,0.3484824597835541,PanIN_LG,PanIN_LG
34565,38894,ADM,ADM,0.5804401636123657,0.2098002433776855,0.1563521325588226,0.0534074530005455,0.5804401636123657,ADM,ADM
24555,50237,ADM,ADM,0.4171960055828094,0.3057664334774017,0.2033787667751312,0.073658749461174,0.4171960055828094,ADM,ADM
24811,49725,ADM,PanIN_LG,0.2633434534072876,0.4404109418392181,0.1537766456604004,0.1424689441919326,0.4404109418392181,ADM,ADM
5986,34691,ADM,ADM,0.4326153993606567,0.2778247594833374,0.1741594076156616,0.1154004037380218,0.4326153993606567,PanIN_LG,ADM
22763,47677,ADM,ADM,0.509637713432312,0.2179511040449142,0.192631185054779,0.0797800049185752,0.509637713432312,Other,ADM
26347,47421,ADM,ADM,0.4509869515895843,0.242485761642456,0.2165757715702057,0.0899515375494957,0.4509869515895843,ADM,ADM
25067,48189,ADM,ADM,0.5741265416145325,0.261169821023941,0.123773954808712,0.040929652750492,0.5741265416145325,ADM,ADM
25579,49725,ADM,ADM,0.3899164199829101,0.2781398892402649,0.1711093187332153,0.1608343422412872,0.3899164199829101,ADM,ADM
26347,48445,ADM,ADM,0.4946941137313843,0.2191872149705886,0.1067179143428802,0.1794007420539856,0.4946941137313843,ADM,ADM
19053,24006,ADM,ADM,0.5855793952941895,0.2047243118286132,0.1177093535661697,0.0919868871569633,0.5855793952941895,Other,ADM
25835,49725,ADM,Other,0.2331555783748626,0.2887178063392639,0.1814437359571457,0.2966828942298889,0.2966828942298889,ADM,ADM
8987,15147,ADM,ADM,0.5393348336219788,0.2325765192508697,0.1702708750963211,0.0578177943825721,0.5393348336219788,Other,ADM
23787,49469,ADM,ADM,0.380553662776947,0.351075530052185,0.1185071021318435,0.1498637795448303,0.380553662776947,ADM,ADM
25835,48957,ADM,ADM,0.5279388427734375,0.2794888913631439,0.1189790740609169,0.0735931918025016,0.5279388427734375,ADM,ADM
25579,46141,ADM,ADM,0.514289140701294,0.2629291117191314,0.1442596912384033,0.0785221084952354,0.514289140701294,ADM,ADM
25323,47165,ADM,PanIN_LG,0.1219798475503921,0.4434270560741424,0.3870745897293091,0.0475185215473175,0.4434270560741424,ADM,PanIN_LG
34565,38638,ADM,ADM,0.42359459400177,0.3080718517303467,0.1432338058948516,0.1250997483730316,0.42359459400177,ADM,ADM
33285,38382,ADM,ADM,0.5747063755989075,0.2776514887809753,0.0972331464290618,0.0504089817404747,0.5747063755989075,ADM,ADM
8475,15403,ADM,ADM,0.2939335107803345,0.2690362334251404,0.2205079793930053,0.2165222764015197,0.2939335107803345,ADM,ADM
24043,50493,ADM,ADM,0.4901634156703949,0.2934021055698395,0.1048718988895416,0.1115625724196434,0.4901634156703949,PanIN_LG,ADM
25067,50237,ADM,ADM,0.5122727751731873,0.2689781486988067,0.1687000691890716,0.0500490665435791,0.5122727751731873,ADM,ADM
19821,32198,ADM,ADM,0.3668461441993713,0.2824010252952575,0.1972232013940811,0.1535296440124511,0.3668461441993713,Other,ADM
20037,37160,ADM,PanIN_HG,0.3007118701934814,0.1825140118598938,0.3261895775794983,0.1905845701694488,0.3261895775794983,ADM,ADM
22251,47421,ADM,PanIN_HG,0.1073717847466468,0.2792860567569732,0.4005363583564758,0.2128058075904846,0.4005363583564758,Other,PanIN_HG
7522,32131,ADM,ADM,0.5009098649024963,0.2983607947826385,0.1222414523363113,0.0784879028797149,0.5009098649024963,ADM,ADM
23787,48957,ADM,PanIN_LG,0.2272668629884719,0.3403089046478271,0.229265883564949,0.2031583935022354,0.3403089046478271,ADM,ADM
26091,46397,ADM,ADM,0.3343987762928009,0.2507904767990112,0.2211885452270507,0.1936222314834594,0.3343987762928009,ADM,ADM
20293,37160,ADM,ADM,0.3032757043838501,0.2539255619049072,0.1465328633785247,0.2962659299373626,0.3032757043838501,ADM,ADM
25835,48189,ADM,ADM,0.351170003414154,0.3135900199413299,0.2244357615709304,0.1108042150735855,0.351170003414154,ADM,ADM
8731,14891,ADM,ADM,0.5148590207099915,0.2042876780033111,0.1428110599517822,0.1380422711372375,0.5148590207099915,Other,ADM
