class,precision,recall,f1_score,support
ADM,0.15757125489666352,0.8760796094630117,0.267101723052264,2663
PanIN_LG,0.037248677248677246,0.36213991769547327,0.06754941469967377,486
PanIN_HG,0.13964313421256788,0.6786050895381716,0.23162296927778672,1061
Other,0.9895130104214459,0.4224827895001959,0.5921437116353866,35734
