x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined
15531,9739,ADM,Other,0.11203743517398834,0.2487642467021942,0.22530308365821838,0.41389524936676025,0.41389524936676025,Other
18859,6667,ADM,Other,0.19420850276947021,0.23734675347805023,0.18101386725902557,0.38743090629577637,0.38743090629577637,Other
19371,6667,ADM,Other,0.14741390943527222,0.23759600520133972,0.15266495943069458,0.46232515573501587,0.46232515573501587,Other
16811,9227,ADM,PanIN_HG,0.13156399130821228,0.22458729147911072,0.5910376310348511,0.05281103402376175,0.5910376310348511,PanIN_HG
16555,9227,ADM,PanIN_HG,0.19767363369464874,0.23349180817604065,0.4858672618865967,0.08296731859445572,0.4858672618865967,PanIN_HG
15531,8971,ADM,PanIN_HG,0.10869497805833817,0.1900871992111206,0.483471542596817,0.2177462875843048,0.483471542596817,Other
16555,10251,ADM,PanIN_HG,0.1329321265220642,0.25278040766716003,0.4629826545715332,0.15130481123924255,0.4629826545715332,PanIN_HG
17579,9227,ADM,PanIN_HG,0.18290287256240845,0.3283405900001526,0.3502824902534485,0.13847407698631287,0.3502824902534485,PanIN_HG
15531,8203,ADM,Other,0.1077890694141388,0.25290757417678833,0.14964354038238525,0.48965984582901,0.48965984582901,Other
26795,14859,ADM,PanIN_HG,0.34571343660354614,0.20618626475334167,0.38016772270202637,0.0679326057434082,0.38016772270202637,Other
15531,9995,ADM,Other,0.1374138742685318,0.20537085831165314,0.24550113081932068,0.4117140769958496,0.4117140769958496,Other
19115,7179,ADM,PanIN_HG,0.08467116951942444,0.2352643609046936,0.5527988076210022,0.12726566195487976,0.5527988076210022,Other
23979,13835,ADM,Other,0.17897668480873108,0.23001007735729218,0.13725890219211578,0.4537543058395386,0.4537543058395386,Other
16555,7435,ADM,Other,0.19364798069000244,0.2140415608882904,0.2917918562889099,0.30051860213279724,0.30051860213279724,Other
26539,14603,ADM,PanIN_HG,0.3031638562679291,0.19804716110229492,0.3377792239189148,0.16100969910621643,0.3377792239189148,Other
16299,10251,ADM,PanIN_HG,0.2558845281600952,0.21595335006713867,0.32723772525787354,0.20092439651489258,0.32723772525787354,PanIN_HG
20651,9995,ADM,PanIN_HG,0.09651678800582886,0.25262191891670227,0.4391719698905945,0.2116893231868744,0.4391719698905945,PanIN_HG
27307,17163,ADM,Other,0.12895219027996063,0.2316480576992035,0.2750854790210724,0.3643142580986023,0.3643142580986023,PanIN_HG
18603,8203,ADM,PanIN_HG,0.21289342641830444,0.21035662293434143,0.49233609437942505,0.0844137966632843,0.49233609437942505,PanIN_HG
17067,7179,ADM,Other,0.16074244678020477,0.22957076132297516,0.13514210283756256,0.4745447039604187,0.4745447039604187,Other
