slide,ADM,PanIN_LG,PanIN_HG,Other,orig_macro_f1,tuned_macro_f1
R4-22,0.3894736842105263,1.3631578947368421,0.6578947368421053,1.0,0.3486001377577894,0.5300087288597927
R4-23,0.3,0.5421052631578948,0.3894736842105263,1.0,0.4882190773186233,0.5471652330697836
R4-25,0.3,0.6105263157894738,0.8368421052631578,1.0,0.14432409938027915,0.517856895202433
R4-27,0.3894736842105263,0.8157894736842106,0.9263157894736842,1.0,0.5652496626180836,0.6246341322405561
R4-28,1.6421052631578947,1.2263157894736842,0.5684210526315789,1.0,0.34996932969520067,0.5648578811369509
R4-29,0.5684210526315789,0.9526315789473685,1.8210526315789475,1.0,0.5813225202343878,0.6536251545576951
