x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined,Tuned
15531,9739,ADM,Other,0.1120374351739883,0.2487642467021942,0.2253030836582183,0.4138952493667602,0.4138952493667602,Other,Other
18859,6667,ADM,Other,0.1942085027694702,0.2373467534780502,0.1810138672590255,0.3874309062957763,0.3874309062957763,Other,ADM
19371,6667,ADM,Other,0.1474139094352722,0.2375960052013397,0.1526649594306945,0.4623251557350158,0.4623251557350158,Other,ADM
16811,9227,ADM,PanIN_HG,0.1315639913082122,0.2245872914791107,0.5910376310348511,0.0528110340237617,0.5910376310348511,PanIN_HG,PanIN_HG
16555,9227,ADM,PanIN_HG,0.1976736336946487,0.2334918081760406,0.4858672618865967,0.0829673185944557,0.4858672618865967,PanIN_HG,ADM
15531,8971,ADM,PanIN_HG,0.1086949780583381,0.1900871992111206,0.483471542596817,0.2177462875843048,0.483471542596817,Other,PanIN_HG
16555,10251,ADM,PanIN_HG,0.1329321265220642,0.25278040766716,0.4629826545715332,0.1513048112392425,0.4629826545715332,PanIN_HG,PanIN_HG
17579,9227,ADM,PanIN_HG,0.1829028725624084,0.3283405900001526,0.3502824902534485,0.1384740769863128,0.3502824902534485,PanIN_HG,ADM
15531,8203,ADM,Other,0.1077890694141388,0.2529075741767883,0.1496435403823852,0.48965984582901,0.48965984582901,Other,Other
26795,14859,ADM,PanIN_HG,0.3457134366035461,0.2061862647533416,0.3801677227020263,0.0679326057434082,0.3801677227020263,Other,ADM
15531,9995,ADM,Other,0.1374138742685318,0.2053708583116531,0.2455011308193206,0.4117140769958496,0.4117140769958496,Other,ADM
19115,7179,ADM,PanIN_HG,0.0846711695194244,0.2352643609046936,0.5527988076210022,0.1272656619548797,0.5527988076210022,Other,PanIN_HG
23979,13835,ADM,Other,0.178976684808731,0.2300100773572921,0.1372589021921157,0.4537543058395386,0.4537543058395386,Other,ADM
16555,7435,ADM,Other,0.1936479806900024,0.2140415608882904,0.2917918562889099,0.3005186021327972,0.3005186021327972,Other,ADM
26539,14603,ADM,PanIN_HG,0.3031638562679291,0.1980471611022949,0.3377792239189148,0.1610096991062164,0.3377792239189148,Other,ADM
16299,10251,ADM,PanIN_HG,0.2558845281600952,0.2159533500671386,0.3272377252578735,0.2009243965148925,0.3272377252578735,PanIN_HG,ADM
20651,9995,ADM,PanIN_HG,0.0965167880058288,0.2526219189167022,0.4391719698905945,0.2116893231868744,0.4391719698905945,PanIN_HG,PanIN_HG
27307,17163,ADM,Other,0.1289521902799606,0.2316480576992035,0.2750854790210724,0.3643142580986023,0.3643142580986023,PanIN_HG,ADM
18603,8203,ADM,PanIN_HG,0.2128934264183044,0.2103566229343414,0.492336094379425,0.0844137966632843,0.492336094379425,PanIN_HG,ADM
17067,7179,ADM,Other,0.1607424467802047,0.2295707613229751,0.1351421028375625,0.4745447039604187,0.4745447039604187,Other,ADM
20139,7691,ADM,PanIN_HG,0.195567712187767,0.2184115350246429,0.3306136131286621,0.2554070949554443,0.3306136131286621,Other,ADM
