x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined
11214,19811,ADM,ADM,0.4177698791027069,0.29253339767456055,0.2016240656375885,0.08807264268398285,0.4177698791027069,ADM
35970,28875,ADM,ADM,0.5052904486656189,0.3113117218017578,0.15541958808898926,0.027978230267763138,0.5052904486656189,ADM
8654,18531,ADM,ADM,0.37282639741897583,0.24930012226104736,0.16193154454231262,0.21594195067882538,0.37282639741897583,PanIN_LG
17358,14947,ADM,ADM,0.49668771028518677,0.2802618145942688,0.15062719583511353,0.0724232941865921,0.49668771028518677,ADM
13518,25699,ADM,ADM,0.4632488489151001,0.2806999981403351,0.11643709242343903,0.1396140456199646,0.4632488489151001,PanIN_LG
10499,33533,ADM,Other,0.15011471509933472,0.31428104639053345,0.12950149178504944,0.4061027765274048,0.4061027765274048,PanIN_LG
9934,18275,ADM,ADM,0.3880661725997925,0.2788557708263397,0.15019293129444122,0.18288511037826538,0.3880661725997925,ADM
27266,17867,ADM,Other,0.08633920550346375,0.2707863450050354,0.2535748779773712,0.38929957151412964,0.38929957151412964,PanIN_HG
24962,7883,ADM,ADM,0.34530407190322876,0.2899066209793091,0.14907285571098328,0.21571648120880127,0.34530407190322876,ADM
14286,13411,ADM,ADM,0.4618930220603943,0.2767961919307709,0.12781450152397156,0.13349628448486328,0.4618930220603943,PanIN_LG
16387,35069,ADM,ADM,0.474340558052063,0.29513779282569885,0.1346408724784851,0.09588080644607544,0.474340558052063,PanIN_LG
13006,10083,ADM,ADM,0.492977112531662,0.26799142360687256,0.14549857378005981,0.09353287518024445,0.492977112531662,ADM
3534,16227,ADM,ADM,0.39504483342170715,0.35397911071777344,0.18289487063884735,0.06808120012283325,0.39504483342170715,PanIN_LG
10702,17507,ADM,ADM,0.4629000723361969,0.2679387331008911,0.1415911316871643,0.1275700032711029,0.4629000723361969,ADM
