x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined,Tuned
25476,7752,ADM,ADM,0.5054919719696045,0.2891601920127868,0.0779926180839538,0.1273552328348159,0.5054919719696045,ADM,ADM
23684,11336,ADM,ADM,0.493259072303772,0.3440744280815124,0.0787637010216713,0.0839027762413024,0.493259072303772,ADM,ADM
20612,13640,ADM,ADM,0.5893129110336304,0.2358791828155517,0.0761516541242599,0.0986562594771385,0.5893129110336304,ADM,ADM
25476,19016,ADM,Other,0.3114935457706451,0.2023123204708099,0.1198953464627265,0.3662988245487213,0.3662988245487213,ADM,ADM
18564,16200,ADM,PanIN_LG,0.3117853999137878,0.3208861351013183,0.1129202917218208,0.2544081509113312,0.3208861351013183,ADM,ADM
26500,8264,ADM,PanIN_LG,0.399793267250061,0.4028371572494507,0.1249926835298538,0.0723768919706344,0.4028371572494507,ADM,ADM
20100,15176,ADM,PanIN_LG,0.3751792907714844,0.4903371632099151,0.080352783203125,0.0541307553648948,0.4903371632099151,PanIN_LG,ADM
24964,8008,ADM,ADM,0.4541797339916229,0.2898870408535003,0.1301173418760299,0.1258158981800079,0.4541797339916229,ADM,ADM
21124,13384,ADM,ADM,0.4299552142620086,0.4023513197898865,0.1187176033854484,0.0489759072661399,0.4299552142620086,ADM,ADM
23940,13128,ADM,ADM,0.5646764039993286,0.2805991172790527,0.1151940897107124,0.0395304262638092,0.5646764039993286,ADM,ADM
12190,22680,ADM,PanIN_LG,0.1712863743305206,0.6724632978439331,0.1364519894123077,0.0197983924299478,0.6724632978439331,ADM,PanIN_LG
2206,18328,ADM,ADM,0.3304159641265869,0.2513911426067352,0.1852777004241943,0.2329151630401611,0.3304159641265869,Other,ADM
24708,8264,ADM,PanIN_LG,0.349367082118988,0.5294147729873657,0.0906964689493179,0.030521672219038,0.5294147729873657,ADM,ADM
25732,8008,ADM,ADM,0.4951664805412292,0.2865738272666931,0.1092245578765869,0.1090351194143295,0.4951664805412292,ADM,ADM
24964,10056,ADM,PanIN_LG,0.2480476796627044,0.5991321802139282,0.1145665347576141,0.0382535867393016,0.5991321802139282,PanIN_LG,ADM
11166,21912,ADM,ADM,0.3894696533679962,0.230554848909378,0.1254186332225799,0.2545568346977234,0.3894696533679962,PanIN_LG,ADM
24196,11080,ADM,ADM,0.4922507703304291,0.2642630934715271,0.0833697319030761,0.1601164042949676,0.4922507703304291,ADM,ADM
10398,24984,ADM,ADM,0.5414420366287231,0.3277885913848877,0.0975997895002365,0.033169575035572,0.5414420366287231,ADM,ADM
23684,9288,ADM,ADM,0.4666001498699188,0.203091949224472,0.0685449168086052,0.2617629468441009,0.4666001498699188,ADM,ADM
9886,24472,ADM,PanIN_LG,0.3680341243743896,0.3904682993888855,0.0980336666107177,0.1434639394283294,0.3904682993888855,ADM,ADM
24452,11848,ADM,ADM,0.4690686464309692,0.2192102670669555,0.0861938968300819,0.2255272418260574,0.4690686464309692,ADM,ADM
26756,15432,ADM,Other,0.3299703896045685,0.2124626785516739,0.0984132289886474,0.359153687953949,0.359153687953949,ADM,ADM
11934,22168,ADM,PanIN_LG,0.3484154343605041,0.3772312998771667,0.1843692362308502,0.089984081685543,0.3772312998771667,ADM,ADM
25988,6984,ADM,ADM,0.5569660663604736,0.2671411335468292,0.0844847410917282,0.0914080962538719,0.5569660663604736,ADM,ADM
9630,23192,ADM,PanIN_LG,0.2391378283500671,0.2878544330596924,0.2796492576599121,0.1933585107326507,0.2878544330596924,ADM,ADM
23428,19272,ADM,ADM,0.3617408275604248,0.3553600609302521,0.170956090092659,0.1119430363178253,0.3617408275604248,PanIN_LG,ADM
26500,6728,ADM,ADM,0.4861685633659363,0.2106887698173523,0.0957571566104888,0.2073854804039001,0.4861685633659363,ADM,ADM
23428,12616,ADM,PanIN_LG,0.2725392282009125,0.5794171094894409,0.1117241606116294,0.0363195165991783,0.5794171094894409,ADM,ADM
20100,15688,ADM,ADM,0.4974662363529205,0.2693515419960022,0.1835565567016601,0.0496256463229656,0.4974662363529205,PanIN_LG,ADM
25220,18504,ADM,PanIN_LG,0.1827211081981659,0.6480849385261536,0.1404718160629272,0.0287221483886241,0.6480849385261536,ADM,PanIN_LG
12446,22936,ADM,ADM,0.4979660511016845,0.305928111076355,0.1389550566673278,0.0571507550776004,0.4979660511016845,PanIN_LG,ADM
24196,12360,ADM,ADM,0.4550394415855407,0.3097676634788513,0.1346566975116729,0.1005361974239349,0.4550394415855407,ADM,ADM
10910,22168,ADM,Other,0.2071020305156707,0.2669271826744079,0.1229951083660125,0.4029757380485534,0.4029757380485534,Other,ADM
10398,25496,ADM,ADM,0.5009716153144836,0.3743291199207306,0.0869897305965423,0.0377095490694046,0.5009716153144836,ADM,ADM
11934,22936,ADM,ADM,0.5289576053619385,0.2790022790431976,0.0899573117494583,0.1020828038454055,0.5289576053619385,ADM,ADM
24708,12616,ADM,ADM,0.4538434743881225,0.4224772751331329,0.0983433425426483,0.0253359116613864,0.4538434743881225,ADM,ADM
23428,19016,ADM,ADM,0.5748820900917053,0.2201281040906906,0.1749415099620819,0.0300482641905546,0.5748820900917053,PanIN_LG,ADM
18820,16456,ADM,ADM,0.4614640176296234,0.245418980717659,0.0715940222144126,0.2215229719877243,0.4614640176296234,PanIN_LG,ADM
23684,12872,ADM,ADM,0.4594445824623108,0.3747475743293762,0.0761540979146957,0.0896537452936172,0.4594445824623108,ADM,ADM
23428,18504,ADM,ADM,0.428634375333786,0.3695184290409088,0.0941935628652572,0.1076536551117897,0.428634375333786,PanIN_LG,ADM
24964,8264,ADM,PanIN_LG,0.3980678915977478,0.4506336450576782,0.0920595899224281,0.0592388436198234,0.4506336450576782,ADM,ADM
24196,13128,ADM,ADM,0.480794608592987,0.2388382107019424,0.0787458941340446,0.2016212940216064,0.480794608592987,ADM,ADM
22660,20040,ADM,ADM,0.5152496099472046,0.2881573736667633,0.1327661573886871,0.0638268887996673,0.5152496099472046,ADM,ADM
23172,18760,ADM,ADM,0.4472232460975647,0.4079153537750244,0.1175657957792282,0.0272956416010856,0.4472232460975647,PanIN_LG,ADM
22660,18760,ADM,ADM,0.4889363944530487,0.323626697063446,0.123266264796257,0.0641706138849258,0.4889363944530487,PanIN_LG,ADM
23940,12104,ADM,ADM,0.4578451514244079,0.2180085331201553,0.087052121758461,0.2370941638946533,0.4578451514244079,ADM,ADM
10142,17048,ADM,ADM,0.4983866214752197,0.3376849293708801,0.0783493220806121,0.0855791494250297,0.4983866214752197,ADM,ADM
11166,21656,ADM,ADM,0.4485922455787658,0.1857704520225525,0.0940029770135879,0.2716343402862549,0.4485922455787658,Other,ADM
28804,5960,ADM,Other,0.2291956841945648,0.2977853417396545,0.1421234905719757,0.3308954834938049,0.3308954834938049,ADM,ADM
25476,6472,ADM,ADM,0.4158523678779602,0.2848806083202362,0.1830964088439941,0.1161706149578094,0.4158523678779602,PanIN_LG,ADM
26756,6984,ADM,ADM,0.487622857093811,0.2778517603874206,0.1177652031183242,0.1167602017521858,0.487622857093811,ADM,ADM
24196,13384,ADM,ADM,0.3696036338806152,0.2231976240873336,0.1064207479357719,0.3007779717445373,0.3696036338806152,ADM,ADM
