x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined,Tuned
26697,28653,ADM,ADM,0.4916126132011413,0.1633972525596618,0.1075228154659271,0.2374672889709472,0.4916126132011413,ADM,ADM
32841,32493,ADM,PanIN_HG,0.2695158123970032,0.1909542381763458,0.4049111604690552,0.1346187889575958,0.4049111604690552,Other,PanIN_HG
23113,17645,ADM,ADM,0.5942161679267883,0.0881955996155738,0.0467186942696571,0.270869493484497,0.5942161679267883,ADM,ADM
27209,16877,ADM,ADM,0.4805983304977417,0.1840458661317825,0.0931464955210685,0.2422092854976654,0.4805983304977417,ADM,ADM
32841,31981,ADM,ADM,0.4556987285614013,0.1623101532459259,0.1578833758831024,0.2241077423095703,0.4556987285614013,ADM,ADM
27465,17389,ADM,ADM,0.5536888241767883,0.1185161396861076,0.0979423075914383,0.2298527210950851,0.5536888241767883,ADM,ADM
27721,30189,ADM,PanIN_LG,0.1850313544273376,0.3722886145114898,0.3640871047973633,0.0785929784178733,0.3722886145114898,ADM,PanIN_HG
27465,30189,ADM,PanIN_HG,0.1415234804153442,0.2438982725143432,0.4994084239006042,0.11516984552145,0.4994084239006042,ADM,PanIN_HG
26441,11757,ADM,ADM,0.4752894639968872,0.1359558403491974,0.0753139555454254,0.31344074010849,0.4752894639968872,Other,ADM
26441,18413,ADM,Other,0.2598171830177307,0.2098596096038818,0.1564544588327407,0.3738687038421631,0.3738687038421631,PanIN_LG,ADM
25673,17645,ADM,ADM,0.5349342823028564,0.1632965803146362,0.0806813612580299,0.2210877537727356,0.5349342823028564,ADM,ADM
32841,32237,ADM,ADM,0.5157362222671509,0.1001179814338684,0.159801959991455,0.2243438363075256,0.5157362222671509,ADM,ADM
29513,28397,ADM,Other,0.3120110929012298,0.1244628056883812,0.1218290477991104,0.4416970610618591,0.4416970610618591,Other,ADM
30793,25325,ADM,ADM,0.5535190105438232,0.1180003136396408,0.1090740114450454,0.2194066345691681,0.5535190105438232,ADM,ADM
27465,17133,ADM,ADM,0.5632310509681702,0.1305806040763855,0.1139255315065383,0.1922628283500671,0.5632310509681702,ADM,ADM
23016,34318,ADM,ADM,0.5041040182113647,0.2183379828929901,0.1528682708740234,0.1246897205710411,0.5041040182113647,ADM,ADM
38473,27629,ADM,PanIN_LG,0.3019428253173828,0.367760956287384,0.207687422633171,0.1226088181138038,0.367760956287384,Other,ADM
34889,28909,ADM,ADM,0.6114218235015869,0.1882677227258682,0.0911818295717239,0.1091285794973373,0.6114218235015869,ADM,ADM
29769,28141,ADM,ADM,0.4989733099937439,0.1158182024955749,0.1112518310546875,0.2739566564559936,0.4989733099937439,ADM,ADM
30281,29677,ADM,Other,0.3482341170310974,0.1299089640378952,0.0694373100996017,0.4524196088314056,0.4524196088314056,ADM,ADM
23113,17389,ADM,ADM,0.6314783096313477,0.1747012436389923,0.0950380861759185,0.0987823978066444,0.6314783096313477,ADM,ADM
29257,15085,ADM,ADM,0.6073330640792847,0.1269468814134597,0.055945448577404,0.2097746133804321,0.6073330640792847,Other,ADM
26953,23277,ADM,PanIN_LG,0.1188959181308746,0.4799451828002929,0.1224509477615356,0.2787079215049743,0.4799451828002929,PanIN_LG,PanIN_LG
30793,26093,ADM,ADM,0.5094325542449951,0.1232974529266357,0.0524875223636627,0.3147824704647064,0.5094325542449951,ADM,ADM
27721,30445,ADM,PanIN_HG,0.2965411841869354,0.1609327495098114,0.4869451820850372,0.0555808842182159,0.4869451820850372,ADM,PanIN_HG
27977,30445,ADM,ADM,0.4679006934165954,0.2466184198856353,0.1424739956855774,0.1430068463087082,0.4679006934165954,Other,ADM
26953,24045,ADM,Other,0.2747215628623962,0.1581473648548126,0.1285800337791443,0.4385510087013244,0.4385510087013244,Other,ADM
29769,12269,ADM,ADM,0.5506781339645386,0.1031731441617012,0.1071731597185134,0.2389755547046661,0.5506781339645386,Other,ADM
22857,17645,ADM,ADM,0.6661301851272583,0.1309327036142349,0.0567690730094909,0.1461680382490158,0.6661301851272583,ADM,ADM
37705,25069,ADM,Other,0.2445655912160873,0.1997242420911789,0.1561231315135955,0.3995870351791382,0.3995870351791382,Other,ADM
31049,31213,ADM,ADM,0.5691745281219482,0.098269447684288,0.1124336943030357,0.2201223522424698,0.5691745281219482,ADM,ADM
30793,29677,ADM,ADM,0.3862439393997192,0.1228979900479316,0.122849054634571,0.3680090010166168,0.3862439393997192,Other,ADM
30793,22765,ADM,Other,0.2678264677524566,0.1238244771957397,0.2472774386405944,0.3610716164112091,0.3610716164112091,ADM,ADM
31305,25325,ADM,ADM,0.5030287504196167,0.1038229614496231,0.0698239654302597,0.3233242928981781,0.5030287504196167,ADM,ADM
30537,25837,ADM,ADM,0.5705627202987671,0.1139739900827407,0.0620603300631046,0.2534029483795166,0.5705627202987671,ADM,ADM
25673,29165,ADM,ADM,0.3591881990432739,0.1497518420219421,0.3382075726985931,0.1528523862361908,0.3591881990432739,Other,ADM
28233,17901,ADM,ADM,0.5309183597564697,0.241637721657753,0.1267232596874237,0.1007206812500953,0.5309183597564697,ADM,ADM
37193,27117,ADM,ADM,0.4723621308803558,0.1256447434425354,0.2736414968967438,0.1283516734838485,0.4723621308803558,ADM,ADM
26185,23789,ADM,PanIN_LG,0.1362746357917785,0.4181106388568878,0.2090894877910614,0.236525222659111,0.4181106388568878,ADM,PanIN_LG
32073,22253,ADM,Other,0.3250805139541626,0.1353629380464553,0.1181108802556991,0.4214456677436828,0.4214456677436828,Other,ADM
25673,24813,ADM,PanIN_LG,0.2990082204341888,0.3026667237281799,0.1968437433242797,0.2014813274145126,0.3026667237281799,ADM,ADM
25161,23789,ADM,PanIN_HG,0.1888920366764068,0.1539550721645355,0.4771401286125183,0.1800127327442169,0.4771401286125183,ADM,PanIN_HG
26953,27117,ADM,ADM,0.4911254048347473,0.1505908370018005,0.0745397433638572,0.2837440371513366,0.4911254048347473,Other,ADM
25161,17389,ADM,Other,0.3184860348701477,0.2071772664785385,0.1318486332893371,0.3424881100654602,0.3424881100654602,Other,ADM
33097,32237,ADM,ADM,0.4616748690605163,0.1784383058547973,0.0680529624223709,0.2918339371681213,0.4616748690605163,Other,ADM
30025,28909,ADM,ADM,0.6293222904205322,0.1412725746631622,0.1088436990976333,0.1205614507198333,0.6293222904205322,ADM,ADM
33353,18669,ADM,ADM,0.5317983627319336,0.1029474139213562,0.0953806415200233,0.2698736190795898,0.5317983627319336,ADM,ADM
25673,28909,ADM,ADM,0.4569131731986999,0.1299822330474853,0.2525768876075744,0.1605276763439178,0.4569131731986999,ADM,ADM
38217,25069,ADM,Other,0.3096678555011749,0.1708257794380188,0.1012546420097351,0.4182516634464264,0.4182516634464264,Other,ADM
23369,17389,ADM,ADM,0.5622813701629639,0.1497769057750702,0.1203050911426544,0.1676366478204727,0.5622813701629639,ADM,ADM
39753,14061,ADM,ADM,0.4916369020938873,0.1532476395368576,0.1632809937000274,0.1918344795703888,0.4916369020938873,Other,ADM
29513,16877,ADM,Other,0.2140500247478485,0.1946776211261749,0.1271954923868179,0.464076817035675,0.464076817035675,Other,ADM
26953,18413,ADM,PanIN_HG,0.2853734493255615,0.2213226705789566,0.3116405308246612,0.1816633641719818,0.3116405308246612,PanIN_LG,ADM
