slide,n_tiles,n_tissue_tiles,original_tissue_macro_f1,tuned_tissue_macro_f1,delta_f1,original_tissue_accuracy,tuned_tissue_accuracy,delta_accuracy,original_tissue_balanced_accuracy,tuned_tissue_balanced_accuracy,delta_balanced_accuracy
R4-22,3267,551,0.3486001377577894,0.5300087288597927,0.18140859110200325,0.6733212341197822,0.8874773139745916,0.21415607985480944,0.46761734997029114,0.5040531071362714,0.03643575716598024
R4-23,9126,1010,0.4882190773186233,0.5471652330697836,0.0589461557511603,0.5544554455445545,0.7267326732673267,0.1722772277227722,0.39307846818576436,0.5261175083063495,0.13303904012058515
R4-25,2032,440,0.14432409938027915,0.517856895202433,0.37353279582215393,0.1318181818181818,0.6090909090909091,0.4772727272727273,0.29331170837194936,0.5157650279112874,0.22245331953933806
R4-27,6765,345,0.5652496626180836,0.6246341322405561,0.05938446962247246,0.672463768115942,0.8666666666666667,0.1942028985507247,0.6511127355425601,0.7128991460131812,0.061786410470621056
R4-28,7269,580,0.34996932969520067,0.5648578811369509,0.21488855144175023,0.6086206896551725,0.8172413793103448,0.20862068965517233,0.49972563104858825,0.5326712846168099,0.032945653568221656
R4-29,11485,1284,0.5813225202343878,0.6536251545576951,0.0723026343233073,0.5685358255451713,0.7515576323987538,0.1830218068535825,0.6225603129754401,0.6292082811535105,0.00664796817807034
