x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined,Tuned
11831,29551,ADM,ADM,0.5659447908401489,0.2815192341804504,0.1135988235473632,0.0389371514320373,0.5659447908401489,PanIN_LG,ADM
9527,29551,ADM,ADM,0.5428489446640015,0.2464496493339538,0.1492561101913452,0.0614452697336673,0.5428489446640015,PanIN_LG,ADM
11831,29295,ADM,ADM,0.5324057340621948,0.2918129861354828,0.1233641281723976,0.0524172186851501,0.5324057340621948,PanIN_LG,ADM
10807,29039,ADM,ADM,0.3503495454788208,0.3333043456077575,0.1782937049865722,0.1380524039268493,0.3503495454788208,PanIN_LG,PanIN_HG
10807,28783,ADM,ADM,0.4562025070190429,0.2935362756252289,0.1388609111309051,0.1114003285765647,0.4562025070190429,PanIN_LG,ADM
10295,28527,ADM,ADM,0.2992867529392242,0.2206428200006485,0.2372061014175415,0.2428643405437469,0.2992867529392242,PanIN_LG,PanIN_HG
10551,28783,ADM,ADM,0.4699251055717468,0.3052228689193725,0.143308937549591,0.0815430879592895,0.4699251055717468,PanIN_LG,ADM
12087,29295,ADM,PanIN_LG,0.061704933643341,0.7018860578536987,0.2065134048461914,0.0298955980688333,0.7018860578536987,PanIN_LG,PanIN_LG
12087,29551,ADM,PanIN_LG,0.2749784588813782,0.3150704801082611,0.3124714493751526,0.0974796041846275,0.3150704801082611,PanIN_LG,PanIN_HG
19511,29039,ADM,PanIN_HG,0.1708908379077911,0.4005224704742431,0.4016065597534179,0.026980135589838,0.4016065597534179,PanIN_LG,PanIN_HG
11575,29295,ADM,PanIN_LG,0.1594752371311187,0.5640527606010437,0.2388336360454559,0.0376383289694786,0.5640527606010437,PanIN_LG,PanIN_LG
11575,29551,ADM,PanIN_LG,0.1187606155872345,0.716788113117218,0.1478429734706878,0.0166082642972469,0.716788113117218,PanIN_LG,PanIN_LG
11063,28783,ADM,PanIN_LG,0.135886549949646,0.6507255434989929,0.1869743019342422,0.0264136251062154,0.6507255434989929,PanIN_LG,PanIN_LG
32551,28789,ADM,PanIN_LG,0.2953067421913147,0.5217952132225037,0.1511154770851135,0.0317825898528099,0.5217952132225037,PanIN_HG,PanIN_LG
7991,29295,PanIN_LG,PanIN_LG,0.0385048799216747,0.7001181840896606,0.1756269931793213,0.0857498943805694,0.7001181840896606,PanIN_LG,PanIN_LG
7991,30319,PanIN_LG,PanIN_HG,0.0135396784171462,0.3014060258865356,0.4826788902282715,0.2023753970861435,0.4826788902282715,PanIN_LG,PanIN_HG
18983,16757,PanIN_LG,PanIN_LG,0.095421515405178,0.627184271812439,0.2622947692871094,0.0150994379073381,0.627184271812439,PanIN_LG,PanIN_LG
7991,29551,PanIN_LG,PanIN_LG,0.0310036428272724,0.6500070095062256,0.2150268405675888,0.1039625033736229,0.6500070095062256,PanIN_LG,PanIN_LG
7991,30063,PanIN_LG,PanIN_HG,0.0223592892289161,0.4242073893547058,0.5166459083557129,0.0367874130606651,0.5166459083557129,PanIN_LG,PanIN_HG
10807,26223,PanIN_LG,PanIN_LG,0.0656638443470001,0.7164515256881714,0.204781025648117,0.0131036061793565,0.7164515256881714,PanIN_LG,PanIN_LG
7735,29551,PanIN_LG,PanIN_LG,0.0211093444377183,0.5142599940299988,0.3194388151168823,0.1451918929815292,0.5142599940299988,PanIN_LG,PanIN_HG
16167,24693,PanIN_LG,PanIN_HG,0.0329102501273155,0.2760593295097351,0.6846815347671509,0.0063489591702818,0.6846815347671509,PanIN_LG,PanIN_HG
15399,25717,PanIN_LG,PanIN_HG,0.0637658089399337,0.4354429244995117,0.4636965990066528,0.0370946638286113,0.4636965990066528,PanIN_HG,PanIN_HG
20519,18805,PanIN_LG,PanIN_LG,0.0513535216450691,0.6129303574562073,0.3230692148208618,0.0126468911767005,0.6129303574562073,PanIN_LG,PanIN_HG
21047,29807,PanIN_LG,ADM,0.4380185902118683,0.2888516783714294,0.1854451298713684,0.0876846313476562,0.4380185902118683,PanIN_LG,PanIN_HG
19239,23925,PanIN_LG,PanIN_HG,0.0159839130938053,0.3777770698070526,0.5981781482696533,0.0080608865246176,0.5981781482696533,PanIN_LG,PanIN_HG
7735,30063,PanIN_LG,PanIN_LG,0.0768717378377914,0.5687251091003418,0.3036261796951294,0.0507769808173179,0.5687251091003418,PanIN_LG,PanIN_HG
12087,26735,PanIN_LG,PanIN_LG,0.0985133349895477,0.6721615195274353,0.218215525150299,0.0111096436157822,0.6721615195274353,PanIN_LG,PanIN_LG
27959,31343,PanIN_LG,PanIN_LG,0.1676477938890457,0.5978752374649048,0.221463456749916,0.0130135184153914,0.5978752374649048,PanIN_LG,PanIN_LG
12599,28271,PanIN_LG,PanIN_LG,0.0804483965039253,0.620659351348877,0.2855123877525329,0.0133797898888587,0.620659351348877,PanIN_LG,PanIN_LG
7991,29807,PanIN_LG,PanIN_LG,0.054770290851593,0.6379899978637695,0.1676956564188003,0.1395440697669983,0.6379899978637695,PanIN_LG,PanIN_LG
15399,18549,PanIN_LG,PanIN_HG,0.1923481225967407,0.3478588759899139,0.4231780171394348,0.0366149544715881,0.4231780171394348,ADM,PanIN_HG
9015,27503,PanIN_LG,PanIN_LG,0.1249747648835182,0.5441155433654785,0.3159406185150146,0.0149690769612789,0.5441155433654785,PanIN_LG,PanIN_HG
21031,17781,PanIN_LG,PanIN_LG,0.1361325532197952,0.6813260316848755,0.1670111119747162,0.0155303478240966,0.6813260316848755,PanIN_LG,PanIN_LG
20791,29807,PanIN_LG,ADM,0.3894932866096496,0.3102202415466308,0.2669709622859955,0.033315509557724,0.3894932866096496,PanIN_LG,PanIN_HG
19495,23669,PanIN_LG,PanIN_HG,0.0518262237310409,0.4563223123550415,0.4799685776233673,0.0118828862905502,0.4799685776233673,PanIN_LG,PanIN_HG
21031,18037,PanIN_LG,PanIN_LG,0.1084975898265838,0.4642923474311828,0.4129128456115722,0.0142972273752093,0.4642923474311828,PanIN_LG,PanIN_HG
12343,28527,PanIN_LG,PanIN_LG,0.2417782396078109,0.50123530626297,0.1937698721885681,0.0632165893912315,0.50123530626297,PanIN_LG,PanIN_LG
13623,26991,PanIN_LG,ADM,0.6092971563339233,0.1669612228870391,0.1343880891799926,0.0893535837531089,0.6092971563339233,PanIN_LG,ADM
12599,28527,PanIN_LG,PanIN_LG,0.010181576013565,0.5958332419395447,0.388226568698883,0.005758614744991,0.5958332419395447,PanIN_LG,PanIN_HG
20775,17781,PanIN_LG,PanIN_LG,0.0266793463379144,0.6910990476608276,0.2696059942245483,0.0126156192272901,0.6910990476608276,PanIN_LG,PanIN_LG
21047,30063,PanIN_LG,PanIN_LG,0.0186665896326303,0.6720288991928101,0.302226722240448,0.0070777521468698,0.6720288991928101,PanIN_LG,PanIN_LG
20775,20853,PanIN_LG,PanIN_HG,0.0378284305334091,0.352851390838623,0.5957528948783875,0.0135672716423869,0.5957528948783875,PanIN_HG,PanIN_HG
15911,24693,PanIN_LG,PanIN_LG,0.0132044916972517,0.6055748462677002,0.3752017617225647,0.0060189617797732,0.6055748462677002,PanIN_LG,PanIN_HG
20007,17781,PanIN_LG,PanIN_LG,0.038217969238758,0.7225807309150696,0.2267491370439529,0.0124521218240261,0.7225807309150696,PanIN_LG,PanIN_LG
16167,25205,PanIN_LG,PanIN_LG,0.0129813980311155,0.6071696877479553,0.3725480139255523,0.0073009189218282,0.6071696877479553,PanIN_LG,PanIN_HG
20791,29551,PanIN_LG,PanIN_LG,0.0949131101369857,0.6438907384872437,0.2138398885726928,0.0473562255501747,0.6438907384872437,PanIN_LG,PanIN_LG
7735,29295,PanIN_LG,PanIN_LG,0.0272583961486816,0.5707015991210938,0.3425367772579193,0.0595032274723053,0.5707015991210938,PanIN_LG,PanIN_HG
13623,27247,PanIN_LG,ADM,0.4443366527557373,0.3801358342170715,0.1462047398090362,0.0293228179216384,0.4443366527557373,PanIN_LG,PanIN_LG
15911,25461,PanIN_LG,PanIN_HG,0.0130459833890199,0.3986123204231262,0.5825241804122925,0.005817549303174,0.5825241804122925,PanIN_LG,PanIN_HG
8759,27247,PanIN_LG,PanIN_LG,0.0194925628602504,0.5864031910896301,0.3888598978519439,0.0052442755550146,0.5864031910896301,PanIN_LG,PanIN_HG
19751,18805,PanIN_LG,PanIN_HG,0.0255606640130281,0.4779413044452667,0.4857876300811767,0.0107103921473026,0.4857876300811767,PanIN_LG,PanIN_HG
11831,26991,PanIN_LG,PanIN_LG,0.0185494311153888,0.5165680646896362,0.4597243666648865,0.0051581533625721,0.5165680646896362,PanIN_LG,PanIN_HG
19495,19061,PanIN_LG,PanIN_HG,0.0543203167617321,0.3415705561637878,0.5900188088417053,0.0140903685241937,0.5900188088417053,PanIN_LG,PanIN_HG
15911,25205,PanIN_LG,PanIN_HG,0.0144187528640031,0.4542423784732818,0.523324728012085,0.0080141499638557,0.523324728012085,PanIN_LG,PanIN_HG
42692,38977,PanIN_LG,PanIN_LG,0.0579922795295715,0.6615393161773682,0.2615596950054168,0.0189087186008691,0.6615393161773682,PanIN_LG,PanIN_LG
18215,16501,PanIN_LG,PanIN_LG,0.3477159738540649,0.3809145092964172,0.2414422929286956,0.0299272947013378,0.3809145092964172,PanIN_LG,PanIN_HG
16935,17013,PanIN_LG,PanIN_HG,0.043531198054552,0.1906427890062332,0.7171632051467896,0.0486628152430057,0.7171632051467896,PanIN_HG,PanIN_HG
7735,30319,PanIN_LG,PanIN_LG,0.0244437865912914,0.5561113953590393,0.3638907670974731,0.0555540919303894,0.5561113953590393,PanIN_LG,PanIN_HG
19239,16757,PanIN_LG,PanIN_LG,0.2718786001205444,0.5004974603652954,0.2093865275382995,0.0182374231517314,0.5004974603652954,PanIN_LG,PanIN_LG
8759,27503,PanIN_LG,PanIN_LG,0.0982409715652465,0.642432689666748,0.23900206387043,0.0203243158757686,0.642432689666748,PanIN_LG,PanIN_LG
12343,28015,PanIN_LG,PanIN_LG,0.2801381051540375,0.5679249167442322,0.1291278600692749,0.0228090547025203,0.5679249167442322,PanIN_LG,PanIN_LG
15655,25717,PanIN_LG,PanIN_HG,0.0137376673519611,0.4124757647514343,0.5672152638435364,0.0065713203512132,0.5672152638435364,PanIN_LG,PanIN_HG
7735,29807,PanIN_LG,PanIN_HG,0.0372224897146225,0.3180191814899444,0.3677977323532104,0.2769605815410614,0.3677977323532104,PanIN_LG,PanIN_HG
10039,31855,PanIN_LG,PanIN_LG,0.0116586238145828,0.6524589657783508,0.3306638598442077,0.005218525417149,0.6524589657783508,ADM,PanIN_HG
21031,19061,PanIN_LG,PanIN_HG,0.0340488404035568,0.2542613744735718,0.6932699680328369,0.0184197947382926,0.6932699680328369,PanIN_LG,PanIN_HG
31015,27509,PanIN_HG,PanIN_HG,0.0299918465316295,0.2633820176124573,0.6782691478729248,0.0283570270985364,0.6782691478729248,PanIN_HG,PanIN_HG
34343,26229,PanIN_HG,PanIN_HG,0.0381121039390563,0.2480394095182418,0.5837869644165039,0.1300615519285202,0.5837869644165039,PanIN_HG,PanIN_HG
30247,29045,PanIN_HG,PanIN_HG,0.041857324540615,0.3074035346508026,0.5603369474411011,0.0904021710157394,0.5603369474411011,PanIN_LG,PanIN_HG
17191,20085,PanIN_HG,ADM,0.4027094542980194,0.3562580347061157,0.2108218967914581,0.0302106291055679,0.4027094542980194,PanIN_HG,PanIN_HG
32807,27765,PanIN_HG,PanIN_HG,0.0512964054942131,0.1961441487073898,0.7041366100311279,0.0484228208661079,0.7041366100311279,PanIN_HG,PanIN_HG
41412,41025,PanIN_HG,PanIN_LG,0.155156135559082,0.4192306995391845,0.4074525237083435,0.018160693347454,0.4192306995391845,PanIN_HG,PanIN_HG
21031,20597,PanIN_HG,PanIN_LG,0.1174572184681892,0.6385006904602051,0.2276054173707962,0.0164366327226161,0.6385006904602051,PanIN_HG,PanIN_LG
30503,28277,PanIN_HG,PanIN_LG,0.046026337891817,0.486950546503067,0.4566922485828399,0.0103308605030179,0.486950546503067,PanIN_HG,PanIN_HG
24359,27509,PanIN_HG,PanIN_HG,0.0745373740792274,0.3573842942714691,0.5434999465942383,0.0245784111320972,0.5434999465942383,PanIN_LG,PanIN_HG
21543,20853,PanIN_HG,PanIN_LG,0.0343929678201675,0.5918548703193665,0.3621169924736023,0.0116351619362831,0.5918548703193665,PanIN_LG,PanIN_HG
34599,26997,PanIN_HG,PanIN_HG,0.0244723260402679,0.2740066349506378,0.6904345750808716,0.0110865188762545,0.6904345750808716,PanIN_HG,PanIN_HG
21543,26741,PanIN_HG,PanIN_LG,0.0180206485092639,0.3793304860591888,0.2416211813688278,0.361027717590332,0.3793304860591888,PanIN_HG,PanIN_HG
26407,21621,PanIN_HG,PanIN_HG,0.0757564157247543,0.2692061066627502,0.6193913817405701,0.0356461219489574,0.6193913817405701,PanIN_HG,PanIN_HG
31015,26741,PanIN_HG,PanIN_HG,0.0073567605577409,0.2321678847074508,0.7395477890968323,0.0209275241941213,0.7395477890968323,PanIN_HG,PanIN_HG
20519,22389,PanIN_HG,PanIN_HG,0.0299547594040632,0.2592481970787048,0.6450992226600647,0.0656977891921997,0.6450992226600647,PanIN_HG,PanIN_HG
32295,27509,PanIN_HG,Other,0.0237286165356636,0.3175635039806366,0.2039548605680465,0.454753041267395,0.454753041267395,PanIN_HG,Other
25127,21877,PanIN_HG,PanIN_HG,0.2520073652267456,0.2924363911151886,0.4199047684669494,0.0356515161693096,0.4199047684669494,PanIN_HG,PanIN_HG
19495,27765,PanIN_HG,PanIN_LG,0.0302120968699455,0.6346663236618042,0.2908299565315246,0.0442916192114353,0.6346663236618042,PanIN_HG,PanIN_LG
33319,26997,PanIN_HG,PanIN_HG,0.1200606375932693,0.2990927994251251,0.5377519726753235,0.0430946163833141,0.5377519726753235,PanIN_HG,PanIN_HG
20263,22645,PanIN_HG,PanIN_HG,0.044300477951765,0.3086780607700348,0.635650634765625,0.0113708619028329,0.635650634765625,PanIN_HG,PanIN_HG
29479,28277,PanIN_HG,PanIN_LG,0.1973284184932708,0.4225011765956878,0.3517113924026489,0.0284590385854244,0.4225011765956878,PanIN_HG,PanIN_HG
20263,27765,PanIN_HG,PanIN_HG,0.026466965675354,0.2101817429065704,0.692939043045044,0.0704122483730316,0.692939043045044,PanIN_HG,PanIN_HG
21287,26741,PanIN_HG,PanIN_LG,0.0145376995205879,0.5577120780944824,0.4072836637496948,0.0204665251076221,0.5577120780944824,PanIN_HG,PanIN_HG
23079,22133,PanIN_HG,PanIN_LG,0.0303715206682682,0.7183612585067749,0.2342297732830047,0.0170374251902103,0.7183612585067749,PanIN_HG,PanIN_LG
32295,28277,PanIN_HG,PanIN_HG,0.0524322390556335,0.1875963807106018,0.6772624850273132,0.082708865404129,0.6772624850273132,PanIN_HG,PanIN_HG
9015,32111,PanIN_HG,PanIN_LG,0.0376577638089656,0.583134651184082,0.3708814680576324,0.0083261644467711,0.583134651184082,ADM,PanIN_HG
31271,27253,PanIN_HG,PanIN_HG,0.0235523842275142,0.2525977194309234,0.7017908692359924,0.0220590569078922,0.7017908692359924,PanIN_HG,PanIN_HG
16423,26997,PanIN_HG,PanIN_HG,0.0292860846966505,0.3342114686965942,0.6158056259155273,0.0206968411803245,0.6158056259155273,PanIN_LG,PanIN_HG
9527,30575,PanIN_HG,PanIN_LG,0.1711825132369995,0.4980699419975281,0.3031972050666809,0.0275503695011138,0.4980699419975281,PanIN_LG,PanIN_HG
20007,27765,PanIN_HG,PanIN_HG,0.0246228836476802,0.2905316948890686,0.6713038086891174,0.013541666790843,0.6713038086891174,PanIN_HG,PanIN_HG
17191,19573,PanIN_HG,PanIN_LG,0.020301166921854,0.534298300743103,0.4387255907058716,0.0066749253310263,0.534298300743103,PanIN_HG,PanIN_HG
41924,37185,PanIN_HG,PanIN_HG,0.0526045970618724,0.2578354477882385,0.6731570363044739,0.0164028629660606,0.6731570363044739,PanIN_LG,PanIN_HG
46020,43073,PanIN_HG,PanIN_HG,0.0136658577248454,0.2963716089725494,0.6804569959640503,0.0095055885612964,0.6804569959640503,PanIN_HG,PanIN_HG
26919,28021,PanIN_HG,PanIN_HG,0.059838019311428,0.3402823507785797,0.5809414386749268,0.0189381539821624,0.5809414386749268,PanIN_HG,PanIN_HG
46532,42305,PanIN_HG,PanIN_HG,0.0552999526262283,0.2085900157690048,0.716697096824646,0.0194129403680562,0.716697096824646,PanIN_HG,PanIN_HG
13623,27759,PanIN_HG,PanIN_LG,0.0807054340839386,0.577608048915863,0.3302714824676513,0.0114150075241923,0.577608048915863,PanIN_LG,PanIN_HG
9783,30831,PanIN_HG,PanIN_LG,0.2174232304096222,0.573755145072937,0.1893003433942794,0.0195212848484516,0.573755145072937,PanIN_LG,PanIN_LG
26407,21109,PanIN_HG,PanIN_HG,0.0266849566251039,0.2262449562549591,0.6801741719245911,0.0668959319591522,0.6801741719245911,PanIN_HG,PanIN_HG
