x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined
26697,28653,ADM,ADM,0.49161261320114136,0.16339725255966187,0.10752281546592712,0.23746728897094727,0.49161261320114136,ADM
32841,32493,ADM,PanIN_HG,0.2695158123970032,0.19095423817634583,0.4049111604690552,0.13461878895759583,0.4049111604690552,Other
23113,17645,ADM,ADM,0.5942161679267883,0.08819559961557388,0.046718694269657135,0.27086949348449707,0.5942161679267883,ADM
27209,16877,ADM,ADM,0.4805983304977417,0.18404586613178253,0.09314649552106857,0.2422092854976654,0.4805983304977417,ADM
32841,31981,ADM,ADM,0.45569872856140137,0.1623101532459259,0.15788337588310242,0.2241077423095703,0.45569872856140137,ADM
27465,17389,ADM,ADM,0.5536888241767883,0.11851613968610764,0.0979423075914383,0.22985272109508514,0.5536888241767883,ADM
27721,30189,ADM,PanIN_LG,0.18503135442733765,0.37228861451148987,0.3640871047973633,0.07859297841787338,0.37228861451148987,ADM
27465,30189,ADM,PanIN_HG,0.14152348041534424,0.24389827251434326,0.49940842390060425,0.11516984552145004,0.49940842390060425,ADM
26441,11757,ADM,ADM,0.4752894639968872,0.1359558403491974,0.07531395554542542,0.31344074010849,0.4752894639968872,Other
26441,18413,ADM,Other,0.2598171830177307,0.20985960960388184,0.15645445883274078,0.3738687038421631,0.3738687038421631,PanIN_LG
25673,17645,ADM,ADM,0.5349342823028564,0.16329658031463623,0.08068136125802994,0.2210877537727356,0.5349342823028564,ADM
32841,32237,ADM,ADM,0.5157362222671509,0.10011798143386841,0.15980195999145508,0.22434383630752563,0.5157362222671509,ADM
29513,28397,ADM,Other,0.31201109290122986,0.1244628056883812,0.12182904779911041,0.44169706106185913,0.44169706106185913,Other
30793,25325,ADM,ADM,0.5535190105438232,0.11800031363964081,0.10907401144504547,0.2194066345691681,0.5535190105438232,ADM
27465,17133,ADM,ADM,0.5632310509681702,0.1305806040763855,0.11392553150653839,0.19226282835006714,0.5632310509681702,ADM
23016,34318,ADM,ADM,0.5041040182113647,0.2183379828929901,0.15286827087402344,0.12468972057104111,0.5041040182113647,ADM
38473,27629,ADM,PanIN_LG,0.3019428253173828,0.36776095628738403,0.20768742263317108,0.12260881811380386,0.36776095628738403,Other
34889,28909,ADM,ADM,0.6114218235015869,0.18826772272586823,0.09118182957172394,0.10912857949733734,0.6114218235015869,ADM
29769,28141,ADM,ADM,0.4989733099937439,0.11581820249557495,0.1112518310546875,0.27395665645599365,0.4989733099937439,ADM
30281,29677,ADM,Other,0.3482341170310974,0.1299089640378952,0.06943731009960175,0.45241960883140564,0.45241960883140564,ADM
23113,17389,ADM,ADM,0.6314783096313477,0.1747012436389923,0.09503808617591858,0.09878239780664444,0.6314783096313477,ADM
29257,15085,ADM,ADM,0.6073330640792847,0.12694688141345978,0.05594544857740402,0.20977461338043213,0.6073330640792847,Other
26953,23277,ADM,PanIN_LG,0.11889591813087463,0.47994518280029297,0.12245094776153564,0.27870792150497437,0.47994518280029297,PanIN_LG
30793,26093,ADM,ADM,0.5094325542449951,0.12329745292663574,0.05248752236366272,0.3147824704647064,0.5094325542449951,ADM
27721,30445,ADM,PanIN_HG,0.2965411841869354,0.1609327495098114,0.48694518208503723,0.05558088421821594,0.48694518208503723,ADM
27977,30445,ADM,ADM,0.46790069341659546,0.24661841988563538,0.1424739956855774,0.1430068463087082,0.46790069341659546,Other
26953,24045,ADM,Other,0.27472156286239624,0.15814736485481262,0.1285800337791443,0.43855100870132446,0.43855100870132446,Other
29769,12269,ADM,ADM,0.5506781339645386,0.1031731441617012,0.10717315971851349,0.23897555470466614,0.5506781339645386,Other
22857,17645,ADM,ADM,0.6661301851272583,0.13093270361423492,0.05676907300949097,0.1461680382490158,0.6661301851272583,ADM
37705,25069,ADM,Other,0.24456559121608734,0.1997242420911789,0.15612313151359558,0.3995870351791382,0.3995870351791382,Other
31049,31213,ADM,ADM,0.5691745281219482,0.09826944768428802,0.11243369430303574,0.2201223522424698,0.5691745281219482,ADM
30793,29677,ADM,ADM,0.38624393939971924,0.12289799004793167,0.12284905463457108,0.3680090010166168,0.38624393939971924,Other
30793,22765,ADM,Other,0.26782646775245667,0.12382447719573975,0.24727743864059448,0.3610716164112091,0.3610716164112091,ADM
31305,25325,ADM,ADM,0.5030287504196167,0.10382296144962311,0.0698239654302597,0.3233242928981781,0.5030287504196167,ADM
30537,25837,ADM,ADM,0.5705627202987671,0.11397399008274078,0.06206033006310463,0.2534029483795166,0.5705627202987671,ADM
25673,29165,ADM,ADM,0.3591881990432739,0.14975184202194214,0.33820757269859314,0.1528523862361908,0.3591881990432739,Other
28233,17901,ADM,ADM,0.5309183597564697,0.241637721657753,0.1267232596874237,0.10072068125009537,0.5309183597564697,ADM
37193,27117,ADM,ADM,0.47236213088035583,0.1256447434425354,0.2736414968967438,0.12835167348384857,0.47236213088035583,ADM
26185,23789,ADM,PanIN_LG,0.13627463579177856,0.4181106388568878,0.2090894877910614,0.23652522265911102,0.4181106388568878,ADM
32073,22253,ADM,Other,0.3250805139541626,0.13536293804645538,0.11811088025569916,0.42144566774368286,0.42144566774368286,Other
25673,24813,ADM,PanIN_LG,0.29900822043418884,0.30266672372817993,0.19684374332427979,0.20148132741451263,0.30266672372817993,ADM
25161,23789,ADM,PanIN_HG,0.18889203667640686,0.15395507216453552,0.4771401286125183,0.18001273274421692,0.4771401286125183,ADM
26953,27117,ADM,ADM,0.4911254048347473,0.15059083700180054,0.07453974336385727,0.28374403715133667,0.4911254048347473,Other
25161,17389,ADM,Other,0.3184860348701477,0.2071772664785385,0.13184863328933716,0.3424881100654602,0.3424881100654602,Other
33097,32237,ADM,ADM,0.46167486906051636,0.17843830585479736,0.06805296242237091,0.29183393716812134,0.46167486906051636,Other
30025,28909,ADM,ADM,0.6293222904205322,0.14127257466316223,0.10884369909763336,0.12056145071983337,0.6293222904205322,ADM
33353,18669,ADM,ADM,0.5317983627319336,0.1029474139213562,0.09538064152002335,0.26987361907958984,0.5317983627319336,ADM
25673,28909,ADM,ADM,0.45691317319869995,0.12998223304748535,0.25257688760757446,0.16052767634391785,0.45691317319869995,ADM
38217,25069,ADM,Other,0.3096678555011749,0.1708257794380188,0.10125464200973511,0.4182516634464264,0.4182516634464264,Other
23369,17389,ADM,ADM,0.5622813701629639,0.1497769057750702,0.12030509114265442,0.16763664782047272,0.5622813701629639,ADM
39753,14061,ADM,ADM,0.49163690209388733,0.1532476395368576,0.16328099370002747,0.1918344795703888,0.49163690209388733,Other
29513,16877,ADM,Other,0.2140500247478485,0.19467762112617493,0.12719549238681793,0.46407681703567505,0.46407681703567505,Other
26953,18413,ADM,PanIN_HG,0.2853734493255615,0.2213226705789566,0.31164053082466125,0.1816633641719818,0.31164053082466125,PanIN_LG
29513,17389,ADM,Other,0.31237006187438965,0.1595999300479889,0.10076357424259186,0.4272664189338684,0.4272664189338684,Other
30281,29933,ADM,ADM,0.3679210841655731,0.15241089463233948,0.13313105702400208,0.3465369641780853,0.3679210841655731,ADM
31561,31213,ADM,Other,0.2284700572490692,0.14497455954551697,0.26818549633026123,0.3583698868751526,0.3583698868751526,ADM
34377,20717,ADM,ADM,0.43598559498786926,0.25612032413482666,0.09979855269193649,0.20809553563594818,0.43598559498786926,ADM
38217,27629,ADM,ADM,0.3398222327232361,0.18807001411914825,0.18628840148448944,0.2858193516731262,0.3398222327232361,Other
30793,31213,ADM,ADM,0.5943880081176758,0.1252865195274353,0.10754325985908508,0.17278222739696503,0.5943880081176758,ADM
29769,20461,ADM,ADM,0.4694243371486664,0.1516190767288208,0.1384628415107727,0.24049372971057892,0.4694243371486664,ADM
