x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined,Tuned
23938,8139,ADM,ADM,0.5026017427444458,0.2810679972171783,0.1733554899692535,0.0429747849702835,0.5026017427444458,ADM,ADM
23426,11979,ADM,ADM,0.457608163356781,0.2554320096969604,0.1687572747468948,0.1182025671005249,0.457608163356781,PanIN_LG,ADM
9934,25699,ADM,ADM,0.4489268064498901,0.2738614976406097,0.1430934965610504,0.1341182142496109,0.4489268064498901,ADM,ADM
14542,17763,ADM,Other,0.1349818408489227,0.2855716347694397,0.1917266398668289,0.3877198696136474,0.3877198696136474,PanIN_LG,Other
32642,8907,ADM,ADM,0.4843336343765259,0.2993023991584778,0.1875886917114257,0.0287753082811832,0.4843336343765259,ADM,ADM
9166,17763,ADM,ADM,0.4719303250312805,0.2734220623970032,0.1740270853042602,0.0806205570697784,0.4719303250312805,ADM,ADM
24706,19403,ADM,ADM,0.5328413844108582,0.2791968286037445,0.1369659900665283,0.050995796918869,0.5328413844108582,PanIN_LG,ADM
33922,10443,ADM,Other,0.153581827878952,0.3166179060935974,0.1996003985404968,0.3301998376846313,0.3301998376846313,Other,PanIN_LG
35970,27595,ADM,ADM,0.5188658237457275,0.2940764427185058,0.1590218544006347,0.0280358772724866,0.5188658237457275,ADM,ADM
26242,5835,ADM,ADM,0.4569151699542999,0.3140056133270263,0.1430471539497375,0.0860320627689361,0.4569151699542999,PanIN_LG,ADM
10446,18531,ADM,ADM,0.3562364280223846,0.3114249110221863,0.1381562948226928,0.194182351231575,0.3562364280223846,PanIN_LG,ADM
17614,14947,ADM,ADM,0.4857116341590881,0.2679901719093323,0.1763908565044403,0.069907322525978,0.4857116341590881,ADM,ADM
27266,23499,ADM,PanIN_LG,0.1456925868988037,0.3610287308692932,0.2374404966831207,0.2558381557464599,0.3610287308692932,PanIN_LG,PanIN_LG
14286,19555,ADM,ADM,0.4159939289093017,0.2622053027153015,0.1303578317165374,0.1914429068565368,0.4159939289093017,PanIN_LG,ADM
7374,16995,ADM,ADM,0.4253619313240051,0.3888099193572998,0.1599035859107971,0.025924552232027,0.4253619313240051,PanIN_LG,ADM
10702,25443,ADM,ADM,0.5178261995315552,0.2806469202041626,0.1461957395076751,0.0553311593830585,0.5178261995315552,ADM,ADM
10190,18531,ADM,ADM,0.4740573763847351,0.280458390712738,0.1541900634765625,0.0912941843271255,0.4740573763847351,ADM,ADM
4046,16995,ADM,ADM,0.2960743308067322,0.2680891752243042,0.2098758518695831,0.225960686802864,0.2960743308067322,PanIN_LG,ADM
29314,11211,ADM,ADM,0.4485917687416076,0.2665028572082519,0.1582472622394561,0.1266581416130066,0.4485917687416076,ADM,ADM
22914,12235,ADM,PanIN_HG,0.2491552233695984,0.2735756933689117,0.2807585597038269,0.1965105086565017,0.2807585597038269,ADM,ADM
